assestment;text_clean;sentiment_all;sentiment_avg;uniq_words;uniq_lemm;err;net;ADJ;ADV;NOUN;e0;e1;e2;e3;e4;e5;e6;e7;e8;e9
Nieweryfikowalne;Generalnie, jak pokazują dane i szacunki, to najbardziej obciążone kredytami hipotecznymi, bo to między 20 a 30 proc., są te najzamożniejsze gospodarstwa domowe. A wśród tych najuboższych, najniżej sytuowanych Polaków tylko 5 proc. spłaca kredyty hipoteczne.;-0.0089954901486635;-0.0833641858771443;33.0;29.0;3.0;1.0;0.2121212121212121;0.0606060606060606;0.2121212121212121;0.05356942489743233;-0.056332655251026154;-0.09370764344930649;-0.06682424247264862;0.010916722007095814;0.035351358354091644;-0.08285119384527206;-0.10997116565704346;-0.06904833018779755;0.00903718639165163
Prawda;Według ich ukraińskich danych w Polsce, czy na terytorium Polski, uczy się zdalnie 540 tys. dzieci z Ukrainy.;-0.0089954901486635;-0.0089954901486635;18.0;17.0;0.0;3.0;0.0555555555555555;0.0555555555555555;0.1666666666666666;-0.012641215696930885;0.07069136947393417;0.060331203043460846;-0.017557984218001366;0.0770546942949295;-0.02585354819893837;0.06113938242197037;0.05183742195367813;-0.018429774791002274;0.0824822261929512
Fałsz;Po pierwsze, jest 51,25 proc. ludzi tylko zaszczepionych przeciwko COVID-19. Po drugie, o czym przypominam, mniej więcej 100 osób codziennie umiera w Polsce, nadal.;-0.0089954901486635;-0.0450550029054284;24.0;24.0;0.0;1.0;0.125;0.125;0.0833333333333333;0.06449411064386368;-0.047788314521312714;-0.05813287943601608;-0.041438858956098557;0.04778693988919258;0.04395287483930588;-0.06391754001379013;-0.065057672560215;-0.03707442432641983;0.05244652181863785
Prawda;Po pierwsze, system bankowy w Polsce, no, ma się nieźle.  Zysk w porównaniu do zeszłego roku to jest o 100 proc.;0.0261405557394027;-0.0810372564010322;19.0;19.0;1.0;1.0;0.1578947368421052;0.0;0.2631578947368421;0.08847105503082275;0.017651617527008057;0.09094071388244629;-0.005724465940147638;-0.06532107293605804;0.08170994371175766;-0.00814832653850317;0.08044305443763733;-0.0022332926746457815;-0.06140970066189766
Fałsz;Magazyny gazu mamy pełne tylko w 60%, bo w listopadzie, jak USA poinformowało o zbliżającej się wojnie, nikt nie pomyślał, aby je napełnić.;-0.024012291803956;-0.024012291803956;23.0;23.0;2.0;2.0;0.0869565217391304;0.0;0.1739130434782608;-0.01226029358804226;0.05609791353344917;-0.055635999888181686;-0.02738138474524021;0.05322080850601196;-0.033188581466674805;0.0498364120721817;-0.058599233627319336;-0.04176315665245056;0.047566670924425125
Fałsz;Dwa miesiące po wprowadzeniu sankcji wobec setek rosyjskich oligarchów przez UE, rząd PiS rozpoczął wprowadzanie tych sankcji. Rychło w czas.;-0.0089954901486635;-0.1231503346934914;19.0;19.0;4.0;3.0;0.0526315789473684;0.0;0.3684210526315789;0.06414385139942169;0.0773593932390213;-0.0770297646522522;0.07305307686328888;-0.09839266538619995;0.042416781187057495;0.05955268442630768;-0.08249815553426743;0.0625247210264206;-0.0904647633433342
Fałsz;Turcja oferowała uchodźcom syryjskim znacznie prostszą pomoc, po prostu obozy namiotowe i jedzenie. Tam nie było opieki zdrowotnej, tam nie było edukacji, oświaty dla dzieci syryjskich.;-0.2271647006273269;-0.3601110354065895;24.0;22.0;1.0;3.0;0.25;0.125;0.25;-0.06861312687397003;-0.01886777952313423;0.037725090980529785;0.040502049028873444;0.07836206257343292;-0.10717108100652695;-0.043226804584264755;0.023782484233379364;0.04554207623004913;0.08294105529785156
Częściowy fałsz;Turcja, który przyjmowała uchodźców z Syrii, w czasie w znacznie dłuższym, tzn. tam nie było takiego tempa. Pierwszy milion uchodźców z Syrii pojawił się na terenie Turcji po 3 miesiącach od wybuchu konfliktu, u nas to był tydzień.;-0.0089954901486635;-0.0591072645038366;34.0;32.0;4.0;4.0;0.0588235294117647;0.0588235294117647;0.2352941176470588;-0.009656017646193504;0.08605252206325531;-0.06728141754865646;-0.0456165187060833;-0.04894072562456131;-0.01819576881825924;0.05693493410944939;-0.08854639530181885;-0.05595275014638901;-0.049923475831747055
Prawda;W styczniu, kiedy jeszcze nie było wojny, pan prezes Glapiński wyszedł i poinformował wszystkich , że najwyższa inflacja będzie w czerwcu i powiedział zresztą, że to będzie ok. 8 proc. Okazało się, że już w styczniu inflacja była 9,2 proc.;-0.0738235265016555;-0.032139852643013;31.0;29.0;2.0;5.0;0.1290322580645161;0.064516129032258;0.2903225806451613;0.08661679178476334;0.08179666846990585;0.0022001981269568205;-0.021289944648742676;0.07990312576293945;0.06207434460520744;0.07797638326883316;-0.007358834613114595;-0.018144669011235237;0.08642509579658508
Prawda;Polska jest liderem,  jeżeli chodzi o liczbę wydalonych dyplomatów rosyjskich. Jeżeli nie na pierwszym, to na drugim miejscu jesteśmy, jeśli chodzi właśnie o liczbę wyrzuconych dyplomatów. ;-0.0774020478129386;-0.1350964996963739;21.0;21.0;3.0;2.0;0.2857142857142857;0.0476190476190476;0.3333333333333333;0.0980965718626976;-0.020784717053174973;-0.0840296670794487;-0.09821568429470062;0.08109138160943985;0.06649556756019592;-0.026854531839489937;-0.09239497035741806;-0.0827057883143425;0.1004643514752388
